Handle,Title,Body (HTML),Description,Location,Vendor,Tags,Type,Product Category,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,HS Code,COO,Variant Inventory Qty,Variant Inventory Policy,Variant Price,Cost Per Item,Variant Inventory Tracker,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Variant Weight Unit,Gift Card,Status,Variant Barcode
kids-chester-embroidered-graphic-tee621-brilliant-red-2,KIDS CHESTER EMBROIDERED GRAPHIC TEE-621 BRILLIANT RED 2,,KIDS CHESTER EMBROIDERED GRAPHIC TEE-621 BRILLIANT RED 2,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,7/8,Color,621 BRILLIANT RED 2,,,B0U301Z1PC,0.0,,US,1.0,deny,50,20,shopify,manual,false,true,lbs,false,active,
kids-chester-embroidered-graphic-tee425-mountain-sky,KIDS CHESTER EMBROIDERED GRAPHIC TEE-425 MOUNTAIN SKY,,KIDS CHESTER EMBROIDERED GRAPHIC TEE-425 MOUNTAIN SKY,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,2T,Color,425 MOUNTAIN SKY,,,B0U301Z1PC,0.0,,US,1.0,deny,50,20,shopify,manual,false,true,lbs,false,active,
kids-chester-embroidered-graphic-tee425-mountain-sky,KIDS CHESTER EMBROIDERED GRAPHIC TEE-425 MOUNTAIN SKY,,KIDS CHESTER EMBROIDERED GRAPHIC TEE-425 MOUNTAIN SKY,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,3T,Color,425 MOUNTAIN SKY,,,B0U301Z1PC,0.0,,US,1.0,deny,50,20,shopify,manual,false,true,lbs,false,active,
kids-harvey-graphic-tee001-black,KIDS HARVEY GRAPHIC TEE-001 BLACK,,KIDS HARVEY GRAPHIC TEE-001 BLACK,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,2T,Color,001 BLACK,,,B0U309Z1PC,0.0,,US,1.0,deny,45,18,shopify,manual,false,true,lbs,false,active,
kids-harvey-graphic-tee001-black,KIDS HARVEY GRAPHIC TEE-001 BLACK,,KIDS HARVEY GRAPHIC TEE-001 BLACK,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,3T,Color,001 BLACK,,,B0U309Z1PC,0.0,,US,1.0,deny,45,18,shopify,manual,false,true,lbs,false,active,
kids-harvey-graphic-tee001-black,KIDS HARVEY GRAPHIC TEE-001 BLACK,,KIDS HARVEY GRAPHIC TEE-001 BLACK,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,4,Color,001 BLACK,,,B0U309Z1PC,0.0,,US,1.0,deny,45,18,shopify,manual,false,true,lbs,false,active,
kids-harvey-graphic-tee001-black,KIDS HARVEY GRAPHIC TEE-001 BLACK,,KIDS HARVEY GRAPHIC TEE-001 BLACK,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,5/6,Color,001 BLACK,,,B0U309Z1PC,0.0,,US,1.0,deny,45,18,shopify,manual,false,true,lbs,false,active,
kids-harvey-graphic-tee001-black,KIDS HARVEY GRAPHIC TEE-001 BLACK,,KIDS HARVEY GRAPHIC TEE-001 BLACK,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,7/8,Color,001 BLACK,,,B0U309Z1PC,0.0,,US,1.0,deny,45,18,shopify,manual,false,true,lbs,false,active,
kids-plano-camo-print-graphic-tee410-navy,KIDS PLANO CAMO PRINT GRAPHIC TEE-410 NAVY,,KIDS PLANO CAMO PRINT GRAPHIC TEE-410 NAVY,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,7/8,Color,410 NAVY,,,B0U375Z1PC,0.0,,US,1.0,deny,45,18,shopify,manual,false,true,lbs,false,active,
kids-plano-camo-print-graphic-tee410-navy,KIDS PLANO CAMO PRINT GRAPHIC TEE-410 NAVY,,KIDS PLANO CAMO PRINT GRAPHIC TEE-410 NAVY,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,1012,Color,410 NAVY,,,B0U375Z1PC,0.0,,US,1.0,deny,45,18,shopify,manual,false,true,lbs,false,active,
kids-plano-camo-print-graphic-tee410-navy,KIDS PLANO CAMO PRINT GRAPHIC TEE-410 NAVY,,KIDS PLANO CAMO PRINT GRAPHIC TEE-410 NAVY,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,1416,Color,410 NAVY,,,B0U375Z1PC,0.0,,US,1.0,deny,45,18,shopify,manual,false,true,lbs,false,active,
kids-plano-camo-print-graphic-tee410-navy,KIDS PLANO CAMO PRINT GRAPHIC TEE-410 NAVY,,KIDS PLANO CAMO PRINT GRAPHIC TEE-410 NAVY,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,1820,Color,410 NAVY,,,B0U375Z1PC,0.0,,US,1.0,deny,45,18,shopify,manual,false,true,lbs,false,active,
chester-embroidered-baseball-cap001-black,CHESTER EMBROIDERED BASEBALL CAP-001 BLACK,,CHESTER EMBROIDERED BASEBALL CAP-001 BLACK,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,O/S,Color,001 BLACK,,,B6A316Z1HT,0.0,,US,4.0,deny,45,18,shopify,manual,false,true,lbs,false,active,
yorkville-embroidered-cap001-black,YORKVILLE EMBROIDERED CAP-001 BLACK,,YORKVILLE EMBROIDERED CAP-001 BLACK,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,O/S,Color,001 BLACK,,,B6A320Z1HT,0.0,,US,3.0,deny,45,18,shopify,manual,false,true,lbs,false,active,
addison-indigo-dyed-hoodie418-indigo,ADDISON INDIGO DYED HOODIE-418 INDIGO,,ADDISON INDIGO DYED HOODIE-418 INDIGO,14469,Psycho Bunny,HOLIDAY 2023,,Apparel & Accessories > Clothing,false,Size,L,Color,418 INDIGO,,,B6H339Z1FT,0.0,,US,1.0,deny,175,70,shopify,manual,false,true,lbs,false,active,
addison-indigo-dyed-hoodie418-indigo,ADDISON INDIGO DYED HOODIE-418 INDIGO,,ADDISON INDIGO DYED HOODIE-418 INDIGO,14469,Psycho Bunny,HOLIDAY 2023,,Apparel & Accessories > Clothing,false,Size,XXL,Color,418 INDIGO,,,B6H339Z1FT,0.0,,US,1.0,deny,175,70,shopify,manual,false,true,lbs,false,active,
addison-indigo-dyed-hoodie418-indigo,ADDISON INDIGO DYED HOODIE-418 INDIGO,,ADDISON INDIGO DYED HOODIE-418 INDIGO,14469,Psycho Bunny,HOLIDAY 2023,,Apparel & Accessories > Clothing,false,Size,XXXL,Color,418 INDIGO,,,B6H339Z1FT,0.0,,US,1.0,deny,175,70,shopify,manual,false,true,lbs,false,active,
chester-embroidered-hoodie001-black,CHESTER EMBROIDERED HOODIE-001 BLACK,,CHESTER EMBROIDERED HOODIE-001 BLACK,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,XS,Color,001 BLACK,,,B6H358Z1FT,0.0,,US,1.0,deny,165,66,shopify,manual,false,true,lbs,false,active,
chester-embroidered-hoodie001-black,CHESTER EMBROIDERED HOODIE-001 BLACK,,CHESTER EMBROIDERED HOODIE-001 BLACK,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,XXL,Color,001 BLACK,,,B6H358Z1FT,0.0,,US,1.0,deny,165,66,shopify,manual,false,true,lbs,false,active,
french-terry-pullover-hoodie238-antique-taupe,FRENCH TERRY PULLOVER HOODIE-238 ANTIQUE TAUPE,,FRENCH TERRY PULLOVER HOODIE-238 ANTIQUE TAUPE,14469,Psycho Bunny,,,Apparel & Accessories > Clothing,false,Size,XXL,Color,238 ANTIQUE TAUPE,,,B6H825ARFT,0.0,,US,2.0,deny,145,58,shopify,manual,false,true,lbs,false,active,
french-terry-pullover-hoodie238-antique-taupe,FRENCH TERRY PULLOVER HOODIE-238 ANTIQUE TAUPE,,FRENCH TERRY PULLOVER HOODIE-238 ANTIQUE TAUPE,14469,Psycho Bunny,,,Apparel & Accessories > Clothing,false,Size,XXXL,Color,238 ANTIQUE TAUPE,,,B6H825ARFT,0.0,,US,2.0,deny,145,58,shopify,manual,false,true,lbs,false,active,
french-terry-pullover-hoodie001-black,FRENCH TERRY PULLOVER HOODIE-001 BLACK,,FRENCH TERRY PULLOVER HOODIE-001 BLACK,14469,Psycho Bunny,,,Apparel & Accessories > Clothing,false,Size,XXXL,Color,001 BLACK,,,B6H825ARFT,0.0,,US,2.0,deny,145,58,shopify,manual,false,true,lbs,false,active,
yorkville-embroidered-sweatpant001-black,YORKVILLE EMBROIDERED SWEATPANT-001 BLACK,,YORKVILLE EMBROIDERED SWEATPANT-001 BLACK,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,L,Color,001 BLACK,,,B6P476Z1FT,0.0,,US,1.0,deny,125,50,shopify,manual,false,true,lbs,false,active,
yorkville-embroidered-sweatpant001-black,YORKVILLE EMBROIDERED SWEATPANT-001 BLACK,,YORKVILLE EMBROIDERED SWEATPANT-001 BLACK,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,XL,Color,001 BLACK,,,B6P476Z1FT,0.0,,US,1.0,deny,125,50,shopify,manual,false,true,lbs,false,active,
